trade_date,平安银行,万科A,国农科技,世纪星源,深振业A,全新好,神州高铁,中国宝安,美丽生态,深物业A
2020-01-02,,,,,,,,,,
2020-01-03,,,,,,,,,,
2020-01-06,,,,,,,,,,
2020-01-07,,,,,,,,,,
2020-01-08,,,,,,,,,,
2020-01-09,-0.004739365069793999,-0.011054597801819832,-0.0004478280340348695,0.022292993630573132,0.012957767981527146,-0.011518324607329933,0.01617265253137168,0.05405283359674873,0.08211143695014655,-0.01157100789280674
2020-01-10,-0.028521016264735688,-0.018406892959177412,-0.0008948545861299229,0.006349206349206327,-0.0036481937679824217,-0.013669821240799074,0.0026756568737624775,0.08281511881079551,0.1348973607038122,-0.00738286692190393
2020-01-13,-0.004689771887588345,0.005393895913276436,0.058850574712643766,0.0031746031746031633,0.012834305343223162,-0.01793248945147674,0.0026899798251514007,0.004257682339874114,0.07288629737609331,0.011718923233846157
2020-01-14,-0.022740483279754087,-0.011649737325849951,0.040723981900452344,0.0,0.0018207756128694186,-0.018927444794952675,-0.0026473936409604493,-0.057264466628397015,0.01412429378531077,-0.012569086370226579
2020-01-15,-0.008401462929155334,-0.037561251845329546,0.03535353535353525,0.006349206349206327,0.014836341388803742,-0.009574468085106314,-0.0026702629804450373,-0.0900118436636399,0.0370370370370372,0.0053789950244296225
2020-01-16,-0.02739626436607523,-0.05186528230429355,0.006272401433691677,-0.024922118380062308,-0.014619442351167966,-0.012711864406779627,-0.04244956618938622,-0.08546825464827357,0.008130081300813163,-0.019148983298631128
2020-01-17,-0.017973378190594524,-0.03178851605247546,-0.0040304523063143805,-0.012618296529968487,-0.02013853500179308,0.006396588486140553,-0.047873192079841975,-0.07358812637426226,-0.054263565891472854,-0.027596039078732204
2020-01-20,-0.031779673701541666,-0.05713238254539266,0.013026487190620717,-0.006329113924050667,-0.028939865456646063,0.011815252416756072,-0.0347686116700201,-0.09193902871322235,0.0,-0.032634543521856685
2020-01-21,-0.045343643028817104,-0.06945045506351066,0.023913043478260843,-0.050000000000000044,-0.04727286354012483,-0.004287245444801857,-0.06612162556738244,-0.0503764870123119,0.019498607242339983,-0.03605652461912112
2020-01-22,-0.026033681229026273,-0.012464884057872383,0.0509977827050998,-0.03785488958990535,-0.038394875659382155,-0.015037593984962516,-0.056604283859800875,0.02009606445615142,-0.005494505494505475,-0.031053546747514482
2020-01-23,-0.04837514093324269,-0.05076916283698629,0.01602849510240434,-0.051118210862619695,-0.057509941878250315,-0.022532188841201783,-0.052614024847827956,0.009337767992379842,-0.0026881720430108613,-0.04338154759888435
2020-02-03,-0.1464310761076667,-0.12573875861317652,-0.07643884892086328,-0.14696485623003197,-0.14579320440711918,-0.1313559322033898,-0.1396580717488789,-0.09189425524273509,-0.03825136612021862,-0.1331901303601668
2020-02-04,-0.1124618933074446,-0.07532798466916868,-0.1543077582511787,-0.16560509554140124,-0.1731913260410669,-0.21656050955414008,-0.18282887239778756,-0.02959041863806,-0.08695652173913049,-0.17627867459643165
2020-02-05,-0.0856236450445983,-0.053748553333191285,-0.10318471337579616,-0.11842105263157887,-0.14120516047828835,-0.19483315392895573,-0.13882098800523002,0.01872038285294253,-0.07377049180327866,-0.1551068557161509
2020-02-06,-0.08203468266562153,-0.0733982869600256,-0.08185654008438814,-0.11147540983606552,-0.13306688609380513,-0.1984732824427481,-0.12857265716824817,0.022722785060072637,-0.06353591160220995,-0.14143563786955016
2020-02-07,-0.059206262968757195,-0.05106918959150375,-0.054776511831726604,-0.043771043771043905,-0.11023206751054859,-0.16904500548847412,-0.1081969136889045,0.01698664892711821,-0.08086253369272234,-0.12471524179365201
2020-02-10,0.036456704936269846,0.07660765881885667,0.0662122687439144,0.07490636704119846,0.004374591291406382,0.01585365853658538,0.01622308368895986,0.24355182612284199,-0.025568181818181768,-0.012600304190486189
2020-02-11,0.013007733574862401,0.052859218544090814,0.08312214901165738,0.08778625954198471,0.049553208773355006,0.09485094850948506,0.0576511003027107,0.1476683937823835,0.02083333333333348,0.055477624666501635
2020-02-12,0.009567182339648816,0.05209685527984331,0.02414772727272707,0.07089552238805963,0.03776220573417621,0.08689839572192515,0.032906462472770626,0.11025822100770677,0.01179941002949847,0.0416559352591126
2020-02-13,-0.008126665794312649,0.0734773219748075,-0.021139705882353033,0.03690036900368998,0.021920903954802284,0.10476190476190461,0.01967234686492536,0.04889133114520372,0.002949852507374562,0.029597373886246503
2020-02-14,0.028046421663443066,0.11999984916588735,-0.01066295781177562,-0.014084507042253502,0.04422962929187002,0.0647291941875825,0.006546483321271168,0.04855712916622301,-0.0029325513196482023,0.04533746881531919
2020-02-17,0.059994247511347076,0.06103626005967988,0.07168949771689492,0.010452961672473782,0.054466671156911506,-0.026410564225690325,0.031960250040070415,-0.016551438053097334,0.011661807580174877,0.04720676696721404
2020-02-18,0.02772409334442938,0.02132098078651201,0.20823584464202138,0.01754385964912264,0.03219814241486074,0.018564356435643692,0.05769230769230771,0.09650463384882846,0.061224489795918435,0.021277427424818862
2020-02-19,0.0318179626862074,0.019602179525582297,0.31299121590383727,0.0,0.03641017719619577,0.004920049200491938,0.05413005272407734,0.09655696902654864,0.0437317784256559,0.018752277341106627
2020-02-20,0.06416425382409496,-0.0033377421074863856,0.46666666666666656,0.03558718861209975,0.04721362229102155,0.007389162561576512,0.061104658665634304,0.13417345132743352,0.08235294117647074,0.032507417625318835
2020-02-21,0.03659386695723388,-0.05032405770752313,0.6101218369259607,0.04285714285714293,0.036024627745513405,0.011166253101736912,0.08471418766545757,0.18523408144612574,0.07647058823529429,0.017351032676703237
